사투리,표준어
닮은데,같은데
아니?,아니야?
생견.,생겼어.
요걸로,이걸로
누구냐,누구더라
완?,왔어?
봔?,봤어?
아니.,아니야.
놀란.,놀랐어.
닮안,닮았어
않안?,않았어?
닮은데.,같은데.
보맨?,보고 있어?
있네,있잖아
산.,샀어.
생각이언,생각이었어
꽂아줜.,꽂아줬어.
꽂아줜?,꽂아줬어?
물어봔,물어봤어
받안,받았어
거랜,거래
뜯언,뜯었어
거즘,거의
거,거야
깔안.,깔았어.
주네.,주잖아.
아네,알잖아
버련?,버렸거든?
미쳔,미쳤어
닮아.,같아.
닮,같다
완?,왔거든?
버련.,버렸어.
왔네.,왔잖아.
안?,않았어?
가네?,가잖아?1
했네,했잖아
오라방,오빠
않?,않아?
닮,같아
떴언,떴었어
나왔언?,나왔었거든?
올라왔언,올라왔었어
연,였어
빠젼?,빠졌어?
닮아,같아
나갔댄,나갔대
몰랐댄,몰랐대
느껸,느꼈어
매깨라,어머나
무신,무슨
산댄?,산대?
좋았언,좋았었어
나왔네,나왔잖아
아니연?,아니었어?
당핸,당했어
도새기,돼지고기
먹고졍하다,먹고싶다
먹젠?,먹을래?
촘말로,정말
좋은디,좋은데
되가맨,되고있어
튼거?,튼거야?
송애기,소
돌리게,돌리자
잡숩서예,드세요
맛인,맛있어
합서,하세요
말해보게,말해보자
어멍이,엄마가
먹현,먹혔어
먹언?,먹었어?
몰란,몰랐어
하네,하잖아
빼네,빼잖아
있었네,있었잖아
난,났어
껀,껐어
남견,남겼어
먹언,먹었어
배불런,배불렀어
불런?,불렀어?
떨어젼,떨어졌어
없언,없었어
불런,불렀어
배고팠네,배고팠잖아
사게,사자
않,않아
이거연,이거였어
간,갔어
싶,싶어
맛인,맛있었어
버련,버렸어
거연,거야
알안,알았어
미쳔?,미쳤어?
계산핸,계산했어
비싼,비쌌어
언,없어
겅,그렇게
맛있었시냐?,맛있었어?
가게,가자
걸엉,걸어서
오름이랜,오름이라고
하드라고.,하더라고요.
무사,왜
가신고,갔을까
갔다왔저게.,갔다왔어.
걸엉.,걸어서.
왔주게,왔지
가긴,가기는
가살꺼고.,가야하니까.
신창서,신창에서
걸어가신고?,걸어갔지?
좋아하난,좋아하니까
상관어신디,상관없는데
걸어다녀시난.,걸어다녔으니까.
들주게,들지.
뭐라?,뭐야?
주뎅이로,입으로
잘도,아주
옆이.,옆에.
도새기도,돼지도
이서?,있어?
도새기들은,돼지들은
놨주게.,놓았지.
도새기,돼지
키웜시카부댄.,키우나보다고.
쫄락쫄락,잠깐잠깐씩
막아부난,막아버려서
뒤로해갖고,뒤로해가지고
올라간,올라갔어
밧줄탕,밧줄타고
않애냐?,않았어?
않으난,않으니까
좋아신디,좋았는데
미끌어질거,미끌어질거
봠시니?,보는거야?
그렸져게,그렸네
곱딱하*게,곱게
그려놔신게.,그려놓았네.
닮아.,닮았네.
배우잰,배우려고
거기강,거기가서
물어봥,물어봐서
하는디,하는데
맻,몇
행은,해서는
되커란게.,되겠더라고.
하*난,하니까
배웡은,배워서는
되질,되지를
않허커란게,않겠더라고
배워야주.,배워야지.
미깡,귤
타래,따러
갈꺼.,갈거야.
비오맨.,비와.
오는디.,오는데.
갔당,갔다가
허영으네,해가지고
그만뒁,그만두고
왕으네,와서
줏엉,주워서
보내난,보냈던
누구?,누구지?
상동?,상동이야?
전동?,전동이야?
줏어당,주워서
골아라마는.,얘기했는데.
변씨라냐?,변씨래?
영,이렇게
판포왕,판포와서
살멍,살면서
아니?,아냐?
거기닮은디.,그사람같은데.
누구?,누구야?
아주망,아주머니
이서.,있어.
겅행,그래서
그디,거기
미깡밭을,감귤밭을
샀댄.,샀대.
누게네꺼?,누구네것을?
추쟁이,눈깜쟁이
요디,여기
한*,한
누게네?,누구네?
삼춘네꺼,삼촌네거
닮은디.,같은데.
허난,하니까
가난,가니까
떵,떠서
완.,왔더라.
떵,떠
완,왔는데
떠오난,떠오니까
걸,그것을
못먹으난,못먹으니까
누구한티,누구한테
전화행으네,전화해서
거셩,가지고
가랜,가라고
헌게,한게
전화한거라.,전화한거야.
갱,그렇게
와선게.,왔더라고.
경핸,그렇게
허멍,하면서
미깡,감귤
구해주랜,구해달라고
했댄,했대
거난,그러니까
따쿠다게.,딸게요.
좋댄,좋다고
했댄,했어
거믄,그러면
따잰,딸게
따잰허난,따려고 하니까
않핸게,않더라고
미깡따는거,감귤따는거
짝지엉,짝지어서
기여,그래
니,너
허라,해라
하멍,하면서
따래,따러
가잰,가려고
따잰?,딸래?
안따잰,안딸래
못허여.,못해.
막,아주
재미져.,재밌어.
놀랜,놀러는
다니멍,다니면서
놀래,놀러
근디,그런데
이신디,있는데
누구네?,누군데?
왕,와서
골안,말했어
탈,딸
구해주랜.,구해주라고.
삼춘,삼촌
요망진,야무진
잘도,매우
요망져서.,야무져.
안가맨,안가
따문에,때문에
가져?,갈 수 있나?
어떵할꺼,어떻게할거야
안가믄.,안가면.
반납시키나?,반납시킨다고?
어떵허나,어떡해
안줨디,안주는데
안줘불맨,안주더라고
허믄,하면
됨나?,되나?
게,그래
안된댄.,안된대.
많아부니깐,많아버리니까
게난.,그러게.
되주기.,되지.
돼신디,됐는데
불맨.,버리네.
그지,그렇지
쇠괴기,소고기
강,가서
맥여도,먹여도
가곡,가고
장어먹은디,장어먹은데
맛있고이.,맛있는데.
맛이서,맛있어
훅고이.,굵고.
허지말앙,하지말고
먹으켄해.,먹겠다고해.
안된다게,안돼
얘기라.,얘기야.
안되는거.,안되는거야.
겅헌디,그렇긴한데
뷔페먹으래,뷔페먹으러
헙디가?,했어요?
건디,근데
안다녀분댄,안다닌대
안나와분댄.,안나와버린대.
때리믄,때리면
어떵할꺼,어떻게하지
걱정이라이,걱정이다
문제라,문제야
만든거라부난,만든거라서
어서,없어
어서.,없어.
조심하멍,조심하면서
살아야주,살아야지
어떵할거라.,어떻게하겠어.
게미,그러게 말이야
많을거라,많을거야
답답햄시커라,답답하겠어
어시난,없으니까
미어터졍으네,미어터질만큼
와부럼지게.,오고있잖아.
들어오난,들어오니까
봐지고,보이고
욕먹은댄,욕먹는대
보염서,보여
먹을꺼?,먹을거야?
간단한디,간단한데
요,여기
맛좋은거,맛있는거
이시니,있어
맛좋게,맛있게
헌댄,한다고
맛좋아?,맛있어?
잘허는디,맛있게 하는곳
있댄,있다고
허멍,하던데
내창이신데,내있는곳에
나오는데이,나오는데
맛이서냐?,맛있었어?
양념먹언?,양념먹었어?
어떵허여?,어떻게나와?
닮아,같애.
하*던데,하던데
않애라게,않더라고
호끔,조금
와신디,왔는데
갔다완.,갔다왔어.
갔다완,갔다왔어
먹을만해라.,먹을만 하더라.
생겸서.,생기고있어.
안헌댄,안한다고
무사?,왜?
주믄,주면
안한댄,안한대
아니라,아니야
먹어서.,먹었어.
족을걸?,적을걸?
족지,적지
서이,셋이
족지.,적지.
완,왔어
강.,가서.
가보카?,가볼까?
안가잰,안갈래
여자난,여자니까
건디,그렇긴한데
맛좋아라게,맛있어라고
먹어지커라라,먹어지겠더라고
하영,많이
먹어서이,먹었었어
앉안?,앉았어?
먹었네,먹었잖아
야이,얘는
가졍,가지고
호끔해,조그마해
호끔해가지고,조그매가지고
쪽고,작고
맛어신,맛없는
베지근하게,맛있게
먹어서,먹었어
쪽다게.,작아.
적어,작아
원이었네,원이었잖아
간디가,갔던데가
안해난?,안했었어?
이서난,있었어
사당으네,사가지고
구워먹어났거든,구워먹었거든
그래신디,그랬는데
있어신디,있었는데
똥물이라이,똥물이더라
부렀어,버렸어
내려강,내려가서
나가부런.,나가버렸어.
와부런.,와버렸어.
나가,내가
꽃인디,꽃인데
뵈러가,보러가
뵈러강,보러가서
무시거,뭐
헐꺼난.,할거야.
달라이?,달라?
해놘.,해놨어.
여자구나게.,여자구나.
좋아하주게,좋아하지
싫어허주게.,싫어하지.
겅해도,그래도
안올라강,안올라가고
앉앙이서,앉아있어
안내렴수과?,안내리세요?
봠신디,보는데
내렴시니,내리는거야
다녀부난,다니니까
햄주게.,하는거지.
여행와수과?,여행왔어요?
가잰하난,가려고
왔주기.,왔지.
안내령,안내리고
내령,내려서
거난,그러니깐
행으네,해서
모앙으네,모아서
허영,해서
허던가.,하든가.
모임이영,모임이랑
만나이,만나고
어실꺼라,없을거야
게난,그러니까
지겨웜실꺼주게.,지겨워하겠지.
가졈서게?,갈 수 있겠어?
한*번도,한 번도
되불고이,되버리고
갈껀디,갈건데
못가맨,못가
나갈건디,나갈건데
근질근질,간질간질
햄실꺼여,하고있을걸
댕겨.,다녀.
먹으난,먹으니까
아팜수과?,아파요?
언닌디,언닌데
먹엄수게,먹고 있어요
막,좀
살*,살
쪄선게?,쪘더라?
바당에,바다에
보난,보니까
잡으맨?,잡아?
치락치락,찰싹찰싹
가불맨?,가버려?
제법하*여?,제법해?
우리영,우리하고
같*이,같이
하*더라고,하더라고
해야돼여,해야돼
되믄,되면
알아져.,알수있어.
그때믄,그때면
되가믄.,되면.
아니라.,아니야.
걸리난,걸리니까
되가믄,되가면
할망들,할머니들
남신가,따는지
안남신가,안따는지
쳐다봔,쳐다보더라
남시믄,따고있으면
쫓아왕,쫒아와서
해봐신디,해봤는데
지치주기게,지치지
버쳐,힘들어
지치는디,지치는데
아니,아냐
알아져,알수있어
닮다,같다
건디,텐데
게믄.,그러면.
게메,그러게
없어부난,없어서
잡고게,잡고
사람은게,사람은
겅허영,그렇게 해서
받암시믄,받았으면
잡을건디,잡을텐데
안허고,않고
어떵할꺼라게,어떡해
구제기,소라
될건디,될텐데
얻고게,없고말야
할거라,할거야
게난,그러게
될거,될게
갈꺼?,갈거야?
하켄,하겠다고
해라만은,하던데
맛좋을,맛있을
때래매,때라면서
줘부난,줘버려서
때주,때지
맛좋고,맛있고
땐디,때인데
하*러,하러
안오켄?,안온대?
안핸,안했어
먹어부런.,먹어버렸대.
팔*았댄,팔았다고
해라?,하던데?
팔*아불고,팔아버리고
팔*안?,팔았어?
어멍꺼,엄마
팔아줘신디.,팔아줬는데.
삶앙?,삶아서?
삶*은거,삶은거
팔믄,팔면
어디이서?,어디있어?
상,사서
들렁다녀,들고다녀
들렁,들고
왕강,오가면서
상가지,사고가지
되라이?,되더라?
해나는,하고있는
엄블랑하*게,엄청나게
가보난,가보니까
맛어서,맛없어
많아이?,많더라?
먹어신디,먹었는데
닮아라?,같더라?
생기믄,생기면
가봔이?,가봤거든?
가득찬이?,가득찼거든?
쪽잡하게,비좁게
앉안.,앉았어.
먹으난이,먹으니까
식언.,식었어.
식어부런,식어버렸어
나와부런,나와버렸어
담아지난,있으니까
봥,보고
줄성으네,줄서서
찍엉으네,찍어서
공유하는거,공유하는거야
보내는거,보내는거야
뭐허러,뭐하려고
증거보낸게,증거보내는거야
대화,대화야
안가시냐?,안갔어?
그추룩,그렇게
하는거.,하는거지.
안가봔,안가봤어
잘도,되게
제주도따이?,제주도사람이야?
판포영,판포하고
왔댄,왔다고
하믄,하면
안해줘?,안해준대?
허여.,하더라.
서비스는게,서비스는
무신.,무슨.
되주,되지
어떵주나?,어떻게줘?
기지,그래맞아
못주나?,못줘?
게메이,그러게
사모님이우다,사모님이에요
줌직허다,줄거같은데
해녀옌,해녀라고
되지게,되지
해년디,해녀인데
하믄.,하면.
어수광?,없어요?
해녀랜해,해녀라고해
해년데양,해녀인데요
어수광?,없나요?
해녀우다,해녀에요
골아,얘기해
해야주기.,해야지.
왕으네,와가지고
청소해주곡,청소해주고
하*영으네,해가지고
올려주곡,올려주고
하*는디,하는데
가네는,그사람들은
가이네는,그사람들은
잡아서,잡았어
가이,그사람
잘한거라이,잘한거야그치
올령,올리고
무신거,어떤거
할껀고,할건가
저기해부난,저기해서
바당물,바닷물
무신거,뭐
헐껀고,할건지
잘한거.,잘한거야.
해는데이.,하는데.
테이블이라.,테이블이야.
그기라.,거기야.
그긴,거긴
허든,하던
해주든데,해주던데
되이서?,되어있어?
받앙,받아서
햄네,하고있잖아
하*든데,하던데
햄던데.,하던데.
경허지,그러지
해부난,하고있어서
허켄,하겠다고
않허켄,않겠다고
정,저렇게
아니,아니다
지꺼라,자기거야
지꺼.,자기거.
지꺼,자기거
없는거주게,없는거지
되이서,되어있어
해시난,했으니까
나왕,나와서
못하크라,못하겠어
해놘,해놨어
지것도,자기것도
아니고게,아닌데말야
지거같이,자기것처럼
해불고,해버리고
거난.,그러니깐.
받는거라?,받는거야?
없는거,없는거야
경해도,그래도
않으맨,않나
아이가이.,아이가.
약?,약이야?
거라,거야
한거라,한거야
주잰,주려고
주젠?,주려고?
비싼건디,비싼건데
걸꺼라,거일거야
뭐꼬?,뭐야?
줭,주고
먹어부러?,먹어도돼?
가믄,가면
샘켜,삼켜
넘어불면,넘어버리면
중단행이네,중단하고
안먹엉,안먹고
내부렀는데,놔뒀는데
들어부난이,들어서
나이들믄,나이들면
먹으맨?,먹고있어?
먹엄나?,먹고있어?
엄브렁허게,어마어마하게
쓰네이?,쓰는구나?
아니,아니야
고장난,고장났어
먹는거,먹는거야
쪽아,적어
경허난,그러니까
가잰하믄,가려고하면
작은데이?,작은데 그치?
이서,있어
가맨?,가?
있댄?,있대?
좁아졌댄?,좁아졌대?
뚫어준대매?,뚫어준다며?
나빠져수과?,나빠졌어요?
이수과?,있어요?
허드라고.,하더라고.
있댄,있대
쓰러집니다이,쓰러져요
해부니깐,하니까
먹으맨.,먹어.
먹으맨,먹어
쓰러졍으네,쓰러져서
해났거든,했었거든
겅하더라고.,그러더라고.
겅행으네,그렇게 해서
죽으믄,죽으면
쓰러졍,쓰러져서
상관어서.,상관없어.
죽질,죽지
않했을,않았을
않애,않아
맥여주니까.,먹여주니까.
겅허난,그러니까
혈관이라,혈관이야
들어가믄,들어가면
알아져,알 수 있어
그러믄.,그러면.
겅허영,그래서
건데,그런데
먹지않아서?,먹었잖아?
쪈,쪘어
겅핸,그렇게했어
없댄,없대
야이,얘
가저시멍)/ (가졌으면서)(겅,그렇게
살쪘댄,살쪘다고
영하난,이러니깐
야이는,얘는
영이,이렇게
지가,자기가
비핸,비해선
살이연,살이였어
뺀,뺐어
겅하네,그렇게하네
겅한댄,그렇게 한대
안핸?,안했어?
겅한다음,그 다음
먹으커라,먹겠다
진짜이,진짜
웃견,웃겼어
나와신디,나왔는데
기다련,기다렸어
안간,안갔어
닮댄,같대
와부난,와서
배불러그냉,배불러서
겅해가지고,이래가지고
겅했져,그렇게 했어
달마,같아
시끄럽댄,시끄럽다고
겅하 는,이렇게 하는
차탕,차타서
어떵하지,어떻게하지
가젠,가자고
해시멍,했잖아
가그냉,가서
돌게,돌자
부난,버려서
뭔말,무슨말이야
하당보난,하다보니깐
재미젼?,재밌었어?
언,언
가이,걔
있주마는,있지
오라이,와라
걸어가멍,걸어가면
걸엉간,걸어서간
기잖아,그렇잖아
가졍,가져서
오라,와라
뭐햄나,뭐하니
비웃업나?,비웃니?
겅핸,그렇게핸
부르젠,부르자고
말랜,말래
모난,모니깐
타당,타다가
타난,타니깐
시켱,시켜서
기다리맨,기다리고있어
게난,그니깐
겅,이렇게
기?,진짜?
지꺼젼?,기뻐하니?
어멍,어머니
이시난,있으니깐
어시난,없으니깐
어실때,없을떄
주게,지
모안?,모았어?
모암신지,모으는지
말암신지,마는지
모르커라,모르겠어
겅해도,그렇게해도
어신디/(없는데)) 들어갈 데가 (어디시냐,어딨냐
이서도,있어도
모아그네,모아서
판,팠어
하당,하다가
주켄한생,주겠다했나봐
하는 생,하는거 같아
했언,했어
그믄,그러면
작은아방,작은 아버지
알겐?,알겠지?
상관어서?,상관없어?
먹읍서,먹어
어신디?,없는데?
빨안.,빨았어.
먹게,먹자
나완,나왔어
아니,아니래
나왔네,나왔어
박안,박았어
교체할켄,교체할게
하멍,하면
뭐랜뭐랜,뭐라뭐라
한생,했는데
요망지다,야무지다
들언?,들었어?
놀랜,놀랐어
알겐?,알겠니?
울언,울었어
모르긴,몰라
안봔?,안봤어?
하이튼,하여간
친구연,친구였어
이,#이
놀랜,놀랬어
재밌언,재밌었어
겁나,엄청
재민,재밌어
소름끼쳔,소름돋았어
갈련,갈렸어
떤,떴어
충격이언,충격이었어
멋인,멋있어
보긴핸,봤어
좋겐,좋겟어
뭉클핸,뭉클했어
뻔핸,뻔했어
끼쳔,끼쳤어
영하니깐,이러니까
탄,탔어
발견핸,발견했어
코앞이언,코앞이었어
도착핸,도착했어
걸련,걸렸어
지나쳐신가,지나쳤나
겅하는,그러는
버쳐가지고,지쳐서
버쳠져,지친다
겅해가지고,그래서
많았언,많았어
왔었언,왔었어
쪽이언?,쪽이었어?
탄?,탔어?
닮은디,같은데
거?,그거?
자랑핸,자랑했어
타봔?,타봤어?
타봔,타봤어
보연,보였어
겅해가지구,그래서
해부난,해서
또이또이연,또이또이였어
거연,거였어
잘도,정말
많은게,많네
괜춘,괜찮아
없어젼?,없어졌어?
생견,생겼어
유명하네,유명하잖아
길댄,길대
그문,그러면
판단해보크라,판단해볼게
실망핸,실망했어
노네,놀잖아
왔네,왔잖아
정도연,정도였어
중요하주게,중요하지
근데이,근데
제주도에선이,제주도에서는
엄,없어
치네,치잖아
경해가지고,그래서
아니언,아니었어
오래되부난,오래돼서
모르켜,모르겠어
시청은이,시청은
됀,됐어
가맨,가
가봔,가봤어
심,싶어
시켠?,시켰어?
것도,그것도
감쌍,감싸고
주,줄
닮다이,같다
생긴댄,생긴다고
기대핸,기대했어
별로연,별로였어
좋겐,좋겠어
먹어봔,먹어봤어
좋으크라,좋겠어
거주게,거지
되주게,되지
먹으면이,구워먹으면
안,않아
유명하던디,유명하던데
유명하댄,유명하대
옷집이라,옷집이야
이랬네,이랬잖아
맛있지게,맛있지
맘*국이,몸국이
맘*국도,몸국도
모르난,몰라서
괜찬,괜찮아
담,같아
거네,거잖아
알겐?,알겠어?
먹었는데이,먹었는데
원이언,원이었어
들련?,들렸어?
들려신디,들렸는데
그거랜,그거래
상술이주게,상술이지
맛있언?,맛있었어?
시켠,시켰어
겅하기로,그러기로
된,됐어
달안,달았어
신기하다이,신기하다
걸렸댄,걸렸대
좋아부난,좋아서
영향력이네,영향력이잖아
맛있댄,맛있대
괜찮은디,괜찮은데
비싸다이,비싸다
떨어졈신게,떨어져
몰라부난,몰라서
없지게,없지
어떵해,어떡해
뭐라,뭐야
거주,거지
겅해부난,그래서
힘들언,힘들었어
얼마라?,얼마야?
살아봔,살아봤어
맞아이,맞아
몰란?,몰랐어?
해봔?,해봤어?
좋다이,좋다
나는이,나는
없네,없잖아
되있네,되어있잖아
방이언,방이었어
놀러가신디,놀러갔는데
썬,썼어
똘도,딸도
시,세
싣고,있고
돈도게,돈도
보내주주만은게,보내주지만은
작산,많은
헌,한
한,많은
허난게,하니까
족은거라.,적은거야.
혼,한
살단디,살던데
살단,살던
할망이,할머니까
비렁,빌려
할망이,할머니가
비렁,빌려서
사람이로구나게.,사람이야.
호루는,하루는
완에,와서
쓰민,쓰면
살민,살면
밖거리덜도,바깥채도
있주게게.,있어.
게믄,그러면
밖거리도,바깥채도
안해서?,않았어?
부난,버리니까
썽게.,썼어.
여짝은,이쪽은
조케네,조카네
저짝은,저쪽은
빌려줬주게.,빌려줬어.
아이덜,아이들
빌려주난게,빌려주니까
집세는게,집세는
들었주게.,들었어.
조케도,조카도
누게도,누구도
경,그렇게
느이,너
줘동,주고
거져불라.,가져버려.
허난에,하니까
아방안티,아버지한테
전화행,전화해서
행,해서
보내줍서.,보내주세요.
사켄,산다고
사민,사면
사쿠다게.,살래요.
노시,결국
보내줜.,보내줬어.
산이.,샀어.
넘언에,넘어서
돌아가션.,돌아가셨어.
돌아가션에,돌아가셔서
밤이는,밤에는
허지,하지
허느냐?,하냐?
헐,할
거라.,거야.
오커라.,오겠어.
걸령,걸려서
행게만은이,했는데
걸련에,걸려서
걸련,걸려서
오난,오니까
해서.,했어.
댕기젠,다니려고
모섭고,무섭고
조차,쫒아서
돌안,데리고
간,가서
모음이,마음이
각시안틴,부인한테
허여.,해.
몰란이,몰라서
어떵,어떠허게
허는니,하는지
물어봐사켜.,물어봐야지.
집이,집에
닮안이,같아서
강,가도
어떵사,어떻게
왔젠,왔다고
가그넹,가서
때는게,때는
부러서.,버렸어.
예비군이여,예비군이랑
뭐여,뭐랑
이서부니까,있어서
허는디,하는데
허느니게?,하냐?
오래나,오래
살면은,살면
허난에게,하니까
부렀주게게.,버렸어.
서방도게게,서방도
따문,때문에
오민,오면
되난,되니까
시키믄,시키면
되난에,되니까
서방이라부난,서방이라서
헐지,할지
몰란.,몰랐어.
두렸주.,어렸지.
아매도게,아무래도
때난,때니까
가가난이,가니까
모섭지도,무섭지도
허고,하고
간때잉,같이
커노난게,커서
갔주게.,갔지.
핸,해서
해영,하고
행,하면
좋코마씸?,좋을까요?
들으래,들으려고
허래,하러
가난에,가니까
좁아,잡아
당경,당겨서
겁난,겁나서
허젠,할려고
되주게.,되지.
아니게,아니
의논헌,의논한
누게,누구
허는니,하는데
보젠,보려고
누게,누가
분댄.,버린대.
허멍이,하면서
허연,하고
완에이,와서
만이,만에
너머사,넘어야
가져.,갈 수 있어.
이선.,있어.
넘어네,넘어서
아시안티,동생한테
족은,작은
년은,딸은
매껴두고,맡겨두고
아이덜은,아이들은
완,와서
살았구나게.,살았어.
댕길,다닐
때난에,때니까
느,너
야이네,얘네
똘,딸
성제는,형제는
기자,그저
덜덜이,달달이
보내주커메,보내줄테니까
떼영,떼어서
불고,버리고
허민,하면
큰똘이,큰딸이
알앙으네,알아서
하도,아주
욕아났저게.,야무졌어.
아시덜,동생들
가거들랑,가면
아방은,남편은
맨드는,만드는
디,데
간생이라.,갔나봐.
허는,하는
아방이,남편이
해난생이라.,했나봐.
경허난이,그러니까
가난이,가니까
그디서이,거기서
받은난이,받으니까
불지,버리지
게난이,그러니까
가정게만은,갔는데
덜은,달은
놀안.,놀았어.
맹질이여,명절이랑
거여,거랑
간에,가서
내주난,내주니까
살곡,살고
허당,하다가
놀아지민,놀면
촞앙,찾아서
오라방네,오빠네
디고,데고
촞앙,찾아
봥에,보고
고치,같이
잤당,잤다가
사난이,사니까
허연,해서
목걸이여,목걸이랑
반지여,반지랑
라디오여,라디오랑
밥통이여,밥통이랑
아시,동생
주민,주면
허연에이,해서
거졍,가져
덜,달
와젼게.,왔어.
벌언이.,벌었어.
버난이,버니까
술집이만,술집에만
댕기멍,다니면서
먹엉,먹어
조전이.,조졌어.
붙여주주게만은게.,붙여주지.
붙엉,붙어서
맨날,매일
어게,어
뭐엔,뭐라고
고르난이,말하니까
주랜,주라고
해랜.,했대.
보내랜,보내라고
보내주.,보내지.
지냥으로,스스로
부치난이,부치니까
찬,차서
먹어수다게.,먹었어요.
오라방안티,오빠한테
오라방이,오빠가
말랜,말라고
먹당,먹다
매기주게게.,아무것도 없지.
겡,그렇게
거졍,가지고
오난이,오니까
바꾸젠,바꾸려고
때라.,때야.
때난이,때니까
넘언,넘어서
헤끌락,조그마한
아니가?,아니야?
요망전이.,야무졌어.
줘신디,줬는데
주난,주니까
주느냐고,주냐고
주는냐고이,주냐고
불르라고,부르라고
아니여게.,아니야.
하도,많아도
적어지난,적어지니까
헌다.,한다.
행,하고
해연이,해서
들단이,들다가
이시난이,있으니까
해시냐?,했어?
사믄게,사면
사난게,사니까
배낀,밖에
됐주게.,됐어.
살주.,살자.
했주게게.,했지.
셋년이,셋째 딸이
보내라게.,보내.
지네만,자기네만
지네,자기네
