사투리,표준어
사겠지.,사겠지.
아니?,아니?
끊겠습니다.,끊겠습니다.
지금,지금
않을까?,않을까?
거의,거의
싶은데.,싶은데.
먹게.,먹자.
비싸.,비싸.
그니까?,그니까?
말하클.,말할게.
그니까.,그니까.
글쎄.,글쎄.
없으면.,없으면.
가던가.,가던가.
나올걸?,나올걸?
어디가?,어디가?
몰라.,몰라.
카페,카페
간다.,간다.
나와.,나와.
지.,지.
싶은데.,싶은데.
배불러.,배불러.
{clearing},{clearing}
거?,거?
아니.,아니.
왜?,왜?
싶은디.,싶은데.
보래메.,보라며.
봐야돼.,봐야돼.
안?,않아?
내려와.,내려와.
놀다가?,놀다가?
그럴까?,그럴까?
내려가야돼.,내려가야돼.
무섭지안?,무섭지 않아?
비슷한가?,비슷한가?
{laughing},{laughing}
올게.,올게.
알고인.,알고있어.
전날.,전날.
다음날이네.,다음날이네.
전날.,전날.
일이네.,일이네.
전날.,전날.
간다니까?,간다니까?
그니까.,그니까.
수술.,수술.
일?,일?
응.,응.
나.,나.
내려오는거네.,내려오는거네.
이거지.,이거지.
안되는데.,안되는데.
걸렸어(()),걸렸어(())
가줄거?,가줄거?
아니.,아니.
해.,해.
그니까.,그니까.
언.,없어.
난리랜.,난리래.
데려가.,데려가.
없어.,없어.
데려가.,데려가.
우리.,우리.
우르르.,우르르.
어이없어.,어이없어.
안가줘.,안가줘.
없고.,없고.
있잖아.,있잖아.
지금?,지금?
쓰는거야.,쓰는거야.
없네.,없네.
얼마지?,얼마지?
원.,원.
괜찮은데?,괜찮은데?
괜찮다니까.,괜찮다니까.
가게.,가자.
근데.,근데.
않지안?,않지 않아?
맞아.,맞아.
{laughing},{laughing}
늙어버련.,늙어버렸어.
퍼져가지고는,퍼져가지고는
엥.,엥.
엥.,엥.
{laughing},{laughing}
마셔?,마셔?
마셔.,마셔.
&name4&이는?,&name4&이는?
안마셔.,안마셔.
먹어봔?,먹어봤어?
없어져인.,없어져 있어.
(()),(())
{laughing},{laughing}
마셔?,마셔?
잘.,잘.
밥.,밥.
쪄?,쪄?
살찌지?,살찌지?
먹어.,먹어.
아니.,아니.
먹네.,먹네.
먹네.,먹네.
약해.,약해.
밀가루라서,밀가루라서
(()),(())
먹어.,먹어.
아직까지,아직까지
먹었지.,먹었지.
남아있는거.,남아있는거.
남겼다고?,남겼다고?
(()),(())
빼면은.,빼면은.
남았네.,남았네.
먹었네.,먹었네.
먹었다니까?,먹었다니까?
잘했어.,잘했어.
못먹는다니까,못먹는다니까
먹잖아.,먹잖아.
먹어.,먹어.
먹어.,먹어.
먹지.,먹지.
그래?,그래?
먹질않애.,먹질않애.
먹네.,먹네.
먹지안?,먹지 않아?
보다,보다
먹어?,먹어?
돈까스는,돈까스는
주네.,주네.
가능?,가능?
가능.,가능.
남아.,남아.
먹네.,먹네.
어.,어.
개이득.,개이득.
인.,인.
먹지안?,먹지안?
먹는거지.,먹는거지.
보통,보통
날.,날.
&name6&보다.,&name6&보다.
먹는거네.,먹는거네.
했는데?,했는데?
먹는다.,먹는다.
알아.,알아.
체하는거네.,체하는거네.
맞아.,맞아.
해?,해?
이.,이.
이.,이.
닮.,닮아.
같지안?,같지 않아?
갔는데,갔는데
아팠언,아팠어.
같았거든.,같았거든.
이제.,이제.
진짜?,진짜?
아프던데,아프던데
바늘로,바늘로
쑤시는,쑤시는
느낌이었다니까.,느낌이었다니까.
때,때
것처럼,것처럼
했네.,했네.
않안.,않았어.
개아파.,개아파.
쳐도,쳐도
사이에,사이에
시원해.,시원해.
거.,거.
걍,걍
자지러젼?,쓰러졌어?
달라.,달라.
이.,이.
달라.,달라.
핸.,했어.
식도염이랜.,식도염이래.
{laughing},{laughing}
줬다고,줬다고
했네.,했네.
상쾌한?,상쾌한?
개돌팔이.,개돌팔이.
개돌팔이.,개돌팔이.
있으면,있으면
된댄.,된대.
봔.,봤어.
하니까,하니까
{laughing},{laughing}
하니까,하니까
아니라.,아니라.
언.,없어.
완.,왔어.
잘한댄.,잘한대.
잘해.,잘해.
아저씨.,아저씨.
잘해.,잘해.
개못해.,개못해.
기?,그래?
돌팔이라니까,돌팔이라니까
&name7&,&name7&
아니,아니
언.,없어.
진짜?,진짜?
아니?,아니?
쓰나?,쓰나?
번,번
왼쪽.,왼쪽.
돌팔이라니까.,돌팔이라니까.
진짜?,진짜?
돌팔이라고.,돌팔이라고.
잘해.,잘해.
맞게핸.,맞게 했어.
잘해.,잘해.
진짜?,진짜?
과장님.,과장님.
&company-name9&인가.,&company-name9&인가.
거.,거.
과장.,과장.
돌팔이.,돌팔이.
아니?,아니?
인.,있어.
이.,이.
쓰러젼.,쓰러젼.
나보고,나보고
아니면,아니면
이.,이.
응.,응.
언.,없어.
빡쳔.,화났어.
맞아.,맞아.
열받안.,열받았어.
잡혀있언.,잡혀있었어.
있거든?,있거든?
인.,있어.
어.,어.
겹집렀다게,겹집렀다게
접질렀다.,접질렀다.
개삘.,개삘.
겹질렀다겐디,겹질러다 인데
말을,말을
겹질렀다.,겹질렀다.
그래서,그래서
질렀스,질렀스
질렀쎄이,질렀쎄이
겹질리다.,겹질리다.
사투리?,사투리?
사투리랜.,사투리래.
기구나.,그렇구나.
모르겠다.,모르겠다.
봐주라.,봐주라.
죽어.,죽어.
뭐?,뭐?
부르다?,부르다?
사투리래매?,사투리라며?
엥,엥
한댄.,한대.
어.,어.
그럼?,그럼?
근데,근데
시키다?,시키다?
말했나?,말했나?
모르겐.,모르겐.
해야되나.,해야되나.
하더라.,하더라.
진짜?,진짜?
시키다?,시키다?
시키다.,시키다.
건데,건데
우린.,우린.
부르다,부르다
하네.,하잖아.
쓴댄.,쓴대.
{laughing},{laughing}
신기하네.,신기하네.
사.,사.
사,사
(()),(())
뭐?,뭐야?
방광염.,방광염.
아파?,아파?
건,그건
진짜?,진짜?
하네.,하잖아.
아파?,아파?
나.,나.
으.,으.
알아?,알아?
응.,응.
모른댄.,모른대.
알아?,알아?
바로,바로
진짜?,진짜?
인.,있어.
인.,있어.
있지안?,있지 않아?
누르면,누르면
데겠지.,데겠지.
짧아.,짧아.
진짜?,진짜?
짧댄.,짧대.
더,더
기구나.,그렇구나.
아판?,아팠어?
때?,때?
신기해.,신기해.
이.,이.
이삿날이연.,이삿날이었어.
집,집
아저씨들이랑,아저씨들이랑
집?,집?
어?,어?
집?,집?
집?,집?
잔.,잤어.
집이라서,집이라서
마션.,마셨어.
어.,어.
개하는거,개하는거
존나,존나
있언?,있었어?
있었겠지?,있었겠지?
잔?,잤어?
먹었겠지.,먹었겠지.
알안.,알았어.
핸.,했어.
간.,갔어.
놀거연.,놀거였어.
어.,어.
이.,이.
싸패아니?,싸패아니?
간.,간.
돼?,돼?
(()),(())
못(찍어신디)/(찍었는데),못(찍어신디)/(찍었는데)
인.,있어.
거네.,거잖아.
뭐,뭐
쌤이랑.,쌤이랑.
않안.,않았어.
와가지고,와가지고
{laughing},{laughing}
아판?,아팠어?
인거닮.,인 것 같아.
간.,갔어.
뭐해?,뭐해?
맞아.,맞아.
맞지.,맞지.
거.,거.
개직빵.,개직빵.
(()),(())
진짜.,진짜.
나아.,나아.
못하는거?,못하는거?
해야되나.,해야되나.
그치.,그치.
안하고.,안하고.
미쳔.,미쳤어.
진짜.,진짜.
(()),(())
당황했지.,당황했지.
때?,때?
느껸.,느꼈어.
건강했네,건강했잖아.
막.,자꾸.
그러네.,그러잖아.
엄청,엄청
맞아.,맞아.
그래?,그래?
앗아가네.,뺏어가잖아.
거는,거는
느낌있네.,느낌 있잖아.
느낌,느낌
그래.,그래.
아니?,아니?
모르겠냐.,모르겠냐.
혹.,혹.
어?,어?
언.,없어.
혹?,혹?
언?,없어?
그건,그건
없댄.,없대.
일.,일.
엄청,엄청
어.,어.
커졌언.,커졌었어.
응.,응.
별로.,별로.
없지.,없지.
목에.,목에.
거.,거.
이.,이.
가지고.,가지고.
그래서,그래서
이모가,이모가
시원하지.,시원하지.
집어넣어?,집어넣어?
응.,응.
길이잖아.,길이잖아.
뭐.,뭐.
토하네.,토하네.
어.,어.
나와.,나와.
해.,해.
그래?,그래?
와,와
나와.,나와.
나와?,나와?
잡아.,잡아.
{laughing},{laughing}
않으션.,않으셨어
나와.,나와.
진짜?,진짜?
나와.,나와.
아판.,아팠어.
거.,거.
장염이랜.,장염이래.
응.,응.
(()),(())
너는?,너는?
그렇게.,그렇게.
아팠는데?,아팠는데?
이.,이.
이.,이.
아픔,아픔
힘들더라.,힘들더라.
이.,이.
개아파.,개아파.
간.,갔어.
거.,거.
먹었다.,먹었다.
데로,데로
나안.,나았어.
이러면서,이러면서
맘.,맘.
이.,이.
원래,원래
몰라.,몰라.
아팠다가,아팠다가
언.,없어.
맞아.,맞아.
거.,거.
나.,나.
나니깐,나니깐
아예.,아예.
벗네.,벗네.
쓰고있으니깐,쓰고있으니깐
못쉬겠고,못쉬겠고
하다가,하다가
알지.,알지.
닮.,같아.
해야되나.,해야되나.
응.,응.
알안.,알았어.
같지안?,같지 않아?
그때.,그때.
체하면?,체하면?
맞아.,맞아.
알안.,알았어.
그래.,그래.
하고,하고
맞아.,맞아.
닮.,같아.
이.,이.
아파.,아파.
맞지.,맞지.
응.,응.
그렇댄.,그렇대.
응.,응.
답답해.,답답해.
아파?,아파?
왜.,왜.
같애.,같아.
걸.,걸.
아니?,아니?
난댄.,난대.
씻기랜.,씻기래.
진짜.,진짜.
모르겠거든.,모르겠거든.
모르겐.,모르겠어.
된?,됐어?
주.,주.
가지.,가지.
아니야.,아니야.
욕심이라고.,욕심이라고.
씻길게.,씻길게.
꼽주네.,꼽주잖아.
나네.,나네.
솔직히,솔직히
맞아.,맞아.
닦았거든.,닦았거든.
씻었어?,씻었어?
해.,해.
좋겐.,좋겠어.
왔지.,왔지.
어.,어.
어때?,어때?
가봔?,가봤어?
응.,응.
진짜?,진짜?
응.,응.
갔네.,갔네.
갔거든?,갔거든?
근데,근데
이십.,이십.
해서.,해서.
왕복?,왕복?
어.,어.
원.,원.
건기?,건기?
건기.,건기.
않애?,않아?
간.,갔어.
개더울건디.,개더울건디.
개더워.,개더워.
싫어해가지고,싫어해가지고
있언.,있었어.
구조거든.,구조거든.
거.,거.
되는데,되는데
걸려?,걸려?
걸려.,걸려.
근데.,근데.
아픈거라.,아픈거라.
구리거든.,구리거든.
타봔.,타봤어.
닮.,같아.
닮.,같아.
맞아.,맞아.
타겐.,타겠어.
원,원
원이었거든.,원이었거든.
참아야지.,참아야지.
참네.,참아.
나으니깐.,나으니깐.
맞아.,맞아.
골라.,골라.
호텔.,호텔.
맞지.,맞지.
호텔.,호텔.
호텔이거든.,호텔이거든.
쳔.,쳤어.
이.,이.
거.,거.
응.,응.
하니까,하니까
다,다
응.,응.
그거는,그거는
기다련.,기다렸어.
된댄.,된대.
간.,갔어.
&name3&는.,&name3&는.
{laughing},{laughing}
그럼.,그럼.
일자로,일자로
넘어간거구나.,넘어간거구나.
거.,거.
이득아니?,이득아니?
이득.,이득.
했네.,했네.
간.,갔어.
반.,반.
아닌가.,아닌가.
느낌?,느낌?
하나.,하나.
멀어.,멀어.
인.,있어.
좋은거연.,좋은거였어.
좋지.,좋지.
개좋지.,개좋지.
간사이말고,간사이말고
도쿄?,도쿄?
아니.,아니.
오사카,오사카
오사카,오사카
하나잖아.,하나잖아.
갔지안?,갔지 않아?
개?,개?
개.,개.
나리타?,나리타?
어.,어.
아니?,아니?
닮.,같아.
좋았지안?,좋았지 않아?
좋안.,좋았어.
{laughing},{laughing}
핸?,했어?
어.,어.
간사이?,간사이?
인.,있어.
양옆으로,양옆으로
때,때
입국심사,입국심사
해야되나?,해야되나?
맞아.,맞아.
핸?,했어?
오사카,오사카
핸?,했어?
입국심사,입국심사
거.,거.
입국심사?,입국심사?
어.,어.
아니.,아니.
맞아.,맞아.
거.,거.
묻는데,묻는데
주고,주고
가고,가고
지나서,지나서
캐리어였지.,캐리어였지.
맞아.,맞아.
찾아서,찾아서
아니?,아니?
구석이연.,구석이었어.
구석에서.,구석에서.
{laughing},{laughing}
서고,서고
보면서,보면서
아니?,아니?
핸.,했어.
언.,없어.
느낌,느낌
이렇게,이렇게
어디?,어디?
일본.,일본.
일본.,일본.
거기,거기
있잖아.,있잖아.
들어가잖아.,들어가잖아.
번,번
맞아.,맞아.
번,번
없지,없지
어.,어.
지금,지금
어디?,어디?
아니라,아니라
그럼,그럼
나는데,나는데
지금,지금
나완.,나왔어.
있고,있고
했는데,했는데
기준,기준
느낌,느낌
인.,있어
인.,있어.
같이,같이
봐,봐
어려워,어려워
어렵지,어렵지
어려워,어려워
많은데,많은데
&company-name1&,&company-name1&
거야?,거야?
싶어.,싶어.
돼?,돼?
뭘?,뭘?
합니다.,합니다.
돼.,돼.
된다고?,된다고?
곡은,곡은
와.,와.
{laughing},{laughing}
있는데?,있는데?
되는데,되는데
있어,있어
때,때
있어,있어
있네,있네
쓰네?,쓰잖아?
어,어
중이에요.,중이에요.
올해?,올해?
상관이지?,상관이지?
뭐야,뭐야
본인피셜,본인피셜
희망,희망
몰랐어?,몰랐어?
?,?
한다고,한다고
지기가,자기가
자기가,자기가
(()),(())
그거랑,그거랑
맞춰서,맞춰서
(()),(())
좋다.,좋다.
좋겠다.,좋겠다.
알잖아.,알잖아.
{laughing},{laughing}
알잖아,알잖아
{laughing},{laughing}
알아야지,알아야지
짜증나.,짜증나.
연예인인데,연예인인데
거예,거는
친해,친해
음,음
싫은데,싫은데
있는데?,있는데?
양홍원,양홍원
친해?,친해?
노예,노예
좀,좀
(()),(())
해야지,해야지
&company-name2&,&company-name2&
들어왔을까,들어왔을까
찍으셨어,찍으셨어
기리보이?,기리보이?
&company-name3&,&company-name3&
뭐지?,뭐지?
뭐였더라?,뭐였더라?
마데카솔,마데카솔
아(그거냐?)/(그거야?),아(그거냐?)/(그거야?)
막,막
안?,않아?
있어.,있어.
아닌가?,아닌가?
같기도,같기도
다쳤어?,다쳤어?
(()),(())
있어,있어
줜?,줬어?
뭐,뭐
가지고,가지고
거?,거?
엥?,엥?
에반디?,에반데?
진짜로?,진짜로?
어,어
뭐하다가?,뭐하다가?
썬?,썼어?
됐는데,됐는데
말야.,말야.
뭐야?,뭐야?
그거거든.,그거거든.
브랜드야?,브랜드야?
야,야
어,어
사람들은,사람들은
걸까?,걸까?
돈,돈
짜증난다.,짜증난다.
그래서,그래서
해서,해서
신나서,신나서
질렀어?,질렀어?
거.,거야.
얼만데?,얼만데?
비싼데,비싼데
원인가?,원인가?
어,어
원이언.,원이었어.
했지,했지
사?,사?
사?,사?
있었는데,있었는데
공홈에서.,공홈에서.
확인했는데,확인했는데
씨,씨
샀거든.,샀거든.
말고,말고
가지고,가지고
산?,샀거든?
사신디,샀는데
어,어
샀는데,샀는데
예쁨?,예쁨?
거야.,거야.
응,응
그냥,그냥
들거든?,들거든?
모르겠는데,모르겠는데
하고,하고
등장,등장
된다고?,된다고?
않아.,않아.
않는다고?,않는다고?
해.,해.
(()),(())
사람들이구나.,사람들이구나.
섹시,섹시
(()),(())
진짜,진짜
모르는구나?,모르는구나?
있지.,있지.
않지,않지
섹시?,섹시?
않아.,않아.
야바이강?,야바이강?
뭐야?,뭐야?
정말,정말
{laughing},{laughing}
게임하지?,게임하지?
{laughing},{laughing}
있었지.,있었지.
마.,마.
진짜,진짜
짜증나.,짜증나.
떠?,떠?
사진.,사진.
난.,난.
언.,없어.
샀어.,샀어.
샀어.,샀어.
예쁘냐고.,예쁘냐고.
찾았어.,찾았어.
당연하지.,당연하지.
찾안.,찾았어.
찾았어?,찾았어?
줄게.,줄게.
미친건가?,미친건가?
{laughing},{laughing}
거야?,거야?
사람이,사람이
않을까?,않을까?
이제?,이제?
뭐야,뭐야
언.,없어.
있네,있네
가본다,가본다
진짜,진짜
&company-name5&,&company-name5&
&company-name6&,&company-name6&
아니겠지?,아니겠지?
인.,있어.
닮은데,같은데
뭔가,뭔가
(()),(())
뭐지?,뭐지?
맞아?,맞아?
기리보이병,기리보이병
그거야,그거야
쫌,쫌
(()),(())
보니까,보니까
눌러봤어,눌러봤어
거.,거.
거야?,거야?
되어있어.,되어있어.
일?,일?
그건데?,그건데?
뭐냐,뭐냐
((xx)),((xx))
오피셜,오피셜
오피셜.,오피셜.
거야?,거야?
뜨거든?,뜨거든?
어,어
보면?,보면?
진짜?,진짜?
되고.,되고.
올리니까.,올리니까.
전까지,전까지
이,이
어렵다.,어렵다.
어렵구나,어렵구나
그치,그치
휴,휴
되지.,되지.
생견.,생겼어.
안?,않아?
모르겠는데,모르겠는데
방에서,방에서
어,어
했거든?,했거든?
응,응
어렵다,어렵다
누르면,누르면
아,아
보이잖아.,보이잖아.
있거든?,있거든?
응,응
있어.,있어.
응,응
거?,거?
거네,거네
그러면,그러면
한다?,한다?
거,거
(()),(())
있구나,있구나
구나,구나
알았었어.,알았었어.
진짜,진짜
왔었어?,왔었어?
핸.,했어.
누구냐,누구더라
완?,왔어?
봔?,봤어?
반도?,반도?
모르겠는데.,모르겠는데.
봔.,봤어.
강동원,강동원
봤다고?,봤다고?
아니,아니
봤잖아.,봤잖아.
봤다고,봤다고
역,역
중사,중사
뭐였더라,뭐였더라
거야.,거야.
있었거든,있었거든
어,어
중사,중사
핸.,했어.
김민재,김민재
약간,약간
김민재?,김민재?
말고,말고
알아.,알아.
오케이,오케이
아니.,아니야.
놀란.,놀랐어.
스타임,스타임
스타일?,스타일?
여진구?,여진구?
잘생겼잖아.,잘생겼잖아.
안?,않아?
아니?,아니?
닮았지.,닮았지.
그니까,그니까
닮았다고,닮았다고
닮안,닮았어
맞지,맞지
않안?,않았어?
진짜?,진짜?
닮은데.,같은데.
있어.,있어.
봔?,봤어?
보맨?,보고 있어?
봐봐봐.,봐봐봐.
(()),(())
몰라?,몰라?
봔.,봤어.
알아.,알아.
알지,알지
아니?,아니야?
맞아,맞아
같네?,같네?
느낌?,느낌?
{laughing},{laughing}
(()),(())
와이,와이
싶다.,싶다.
거의,거의
많았거든?,많았거든?
없어졌어.,없어졌어.
알지,알지
산.,샀어.
샀는데,샀는데
있는데,있는데
해,해
거.,거야.
그러지.,그러지.
거,거
기리보이,기리보이
나는,나는
있고,있고
적금이거든?,적금이거든?
쓰는데,쓰는데
거,거
그냥,그냥
그래서,그래서
거,거
않냐,않냐
같아.,같아.
어렵지,어렵지
시작하면,시작하면
진짜,진짜
썼어,썼어
사?,사?
사자,사자
생각이언,생각이었어
어,어
있네.,있잖아.
물어봤지,물어봤지
알아?,알아?
누구?,누구?
&name4&,&name4&
&name4&?,&name4&?
어.,어.
헐,헐
헐,헐
꽂아줜.,꽂아줬어.
어디서?,어디서?
꽂아줜?,꽂아줬어?
어.,어.
때?,때?
하나거든?,하나거든?
이러니까,이러니까
거야,거야
어,어
하면서,하면서
그래서,그래서
그냥,그냥
거랜,거래
뜯언,뜯었어
인,있어
그러거든,그러거든
그냥,그냥
된다,된다
늘리겠다.,늘리겠다.
이,이
깔안.,깔았어.
응응,응응
(()),(())
팔아?,팔아?
어,어
팔아?,팔아?
매진이지.,매진이지.
어어,어어
시월달에,시월달에
원인가?,원인가?
만이천원짜리인데,만이천원짜리인데
주네.,주잖아.
정돈데,정돈데
말이야,말이야
뒤졌거든,뒤졌거든
산다,산다
인,있어
사람들,사람들
응,응
사람들,사람들
안?,않아?
아니,아니
있지.,있지.
닮.,같아.
아니라,아니라
느낌?,느낌?
음,음
있언.,있었어.
하나에,하나에
봤거든,봤거든
이러면서,이러면서
{laughing},{laughing}
톡으로,톡으로
사겠습니다.,사겠습니다.
와,와
{laughing},{laughing}
산.,샀어.
어,어
카메라,카메라
있네,있네
어,어
그래가지구,그래가지구
미쳤구나?,미쳤구나?
아네,알잖아
찐이다,찐이다
큰손이다,큰손이다
들어온다,들어온다
약간,약간
어,어
봄,봄
응,응
말이야,말이야
막,막
팔거든?,팔거든?
응,응
거,거
이랬는데,이랬는데
거,거
힘들다고,힘들다고
않는다,않는다
거,거
응,응
가지고,가지고
그래서,그래서
썼지,썼지
미친놈,미친놈
버련?,버렸거든?
되냐?,되냐?
잡았네,잡았네
미쳤지,미쳤지
미쳔.,미쳤어.
그래서,그래서
핸,했어
했거든?,했거든?
어,어
{laughing},{laughing}
닮아.,같아.
완.,왔어.
응,응
좋아했는데,좋아했는데
하면서,하면서
거거든,거거든
응,응
비싸.,비싸.
응응,응응
놓으니까,놓으니까
샀냐고,샀냐고
하면서,하면서
거야.,거야.
거라고.,거라고.
휴,휴
한다,한다
했네.,했네.
{laughing},{laughing}
때는,때는
어,어
없어서,없어서
거라고,거라고
{laughing},{laughing}
있어야겠네.,있어야겠네.
갔지,갔지
아니?,아니야?
맞아,맞아
핸.,했어.
아니?,아니야?
안?,않아?
좋은데?,좋은데?
노,노
(()),(())
어,어
군대에,군대에
어,어
했었거든,했었거든
그런다고,그런다고
이러면서,이러면서
거야,거야
친구라,친구라
그러니까,그러니까
거야,거야
헐,헐
되겠네,되겠네
이러면서,이러면서
되겠네,되겠네
짧게,짧게
응,응
않안?,않았어?
했지,했지
남자상,남자상
인편으로,인편으로
이랬거든?,이랬거든?
김범수가,김범수가
이러고,이러고
완?,왔거든?
계절생겼다고,계절생겼다고
이러니까,이러니까
거.,거야.
말이야,말이야
응,응
좋다고,좋다고
사람은,사람은
한데,한데
없거든,없거든
응,응
귀엽고,귀엽고
거,거
이러니까,이러니까
거,거
했지.,했지.
정말,정말
같은데,같은데
기리보이?,기리보이?
이러니까,이러니까
이러던데?,이러던데?
{laughing},{laughing}
되지,되지
버련.,버렸어.
버련.,버렸어.
아니,아니
{laughing},{laughing}
해?,해?
{laughing},{laughing}
왔네.,왔잖아.
나빠졌어.,나빠졌어.
완.,왔어.
좋아,좋아
알아,알아
좋아하니까,좋아하니까
있으면,있으면
이러니까,이러니까
보이겠어?,보이겠어?
그거일걸,그거일걸
기리보이?,기리보이?
어,어
거야.,거야.
보이,보이
(()),(())
거,거
돕,돕
안?,않았어?
아니었으면은,아니었으면은
거?,거?
어,어
(()),(())
안타깝다,안타깝다
이라,이라
알아?,알아?
터져.,터져.
아니?,아니?
때도,때도
했거든?,했거든?
아는데,아는데
가네?,가잖아?1
가지고,가지고
응,응
실렸어.,실렸어.
응,응
입장,입장
뭐,뭐
시켜?,시켜?
해,해
{laughing},{laughing}
어,어
취소됐다니까,취소됐다니까
{laughing},{laughing}
취소됐어.,취소됐어.
아닌가,아닌가
맞지.,맞지.
(()),(())
했는데,했는데
까이더라,까이더라
는데,는데
에스파,에스파
뭐야?,뭐야?
신인그룹,신인그룹
남자?,남자?
여자.,여자.
에스파?,에스파?
들어보는데,들어보는데
{laughing},{laughing}
에스파?,에스파?
나오네,나오네
장윤주?,장윤주?
몰랐는데,몰랐는데
어리다,어리다
아이돌들이?,아이돌들이?
어,어
그치,그치
애긴데?,애긴데?
아,아
못해요,못해요
핸,했어
아이유는,아이유는
스토리,스토리
아이유다,아이유다
누구,누구
거야?,거야?
아,아
스토리에,스토리에
아이유,아이유
해볼까?,해볼까?
올라왔다는거지?,올라왔다는거지?
빠졌었어,빠졌었어
알아?,알아?
해체했잖아,해체했잖아
뭐야,뭐야
명이서,명이서
맞아(이)/(#이),맞아(이)/(#이)
있언?,있었어?
그,그
좋아했어,좋아했어
봤잖아,봤잖아
야,야
하더만,하더만
오라방,오빠
많고,많고
모르고,모르고
하시잖아요,하시잖아요
그래,그래
인,있어
않?,않아?
모쏠?,모쏠?
나이가,나이가
스물여덟?,스물여덟?
근데?,근데?
닮,같아
모솔이었을걸?,모솔이었을걸?
라디오스타,라디오스타
뭐지,뭐지
스타,스타
나왔는데,나왔는데
싫어?,싫어?
어?,어?
나왔언?,나왔었거든?
근데,근데
거,거
던졌는데,던졌는데
있습니다,있습니다
왜냐하면,왜냐하면
때문에,때문에
근데,근데
연,였어
아,아
오랜만,오랜만
아니?,아니야?
빠졌는데,빠졌는데
빠젼?,빠졌어?
닮아,같아
왜냐하면,왜냐하면
나갔댄,나갔대
몰랐댄,몰랐대
공찬이랑,공찬이랑
된거,된거
없었거든?,없었거든?
뭐지?,뭐지?
취,취
취해본다,취해본다
그,그
빌려,빌려
느껸,느꼈어
좋잖아,좋잖아
초등학교,초등학교
어,어
와,와
걸어본다지,걸어본다지
일이야지,일이야지
탈락,탈락
않나?,않나?
걸어본다,걸어본다
걸래?,걸래?
