사투리,표준어
아~,아~
위가,위가
작아서?,작아서?
아~,아~
걷고,걷고
싶어,싶어
하는,하는
거,거
아니?,아니?
너무,너무
더부룩해서,더부룩해서
그런가?,그런가?
그리고,그리고
얘는,얘는
사료도,사료도
잘,잘
안,안
먹었었네.,먹었었네.
뭔가,뭔가
배불러서,배불러서
안,안
먹는,먹는
거,거
아,아
간식은,간식은
근데,근데
잘먹어.,잘먹어.
맛있어서,맛있어서
그러니까,그러니까
&name2&처럼,&name2&처럼
맛있으면,맛있으면
늘어나는거지.,늘어나는거지.
아,아
개어이없네.,개어이없네.
{laughing},{laughing}
야,야
그럼,그럼
우리,우리
너,너
월급날,월급날
뭐,뭐
먹으러,먹으러
갈꺼?,갈꺼?
(()),(())
모르겠는데,모르겠는데
너네,너네
뭐,뭐
생각해,생각해
놓은거,놓은거
근데,근데
우리가,우리가
말해도,말해도
안,안
사,사
줄,줄
거네.,거네.
비싼,비싼
거,거
말고,말고
&company-name4&,&company-name4&
&company-name4&,&company-name4&
진짜,진짜
양심,양심
없네.,없네.
그럼,그럼
다음에,다음에
다섯,다섯
명이서,명이서
십오만,십오만
원.,원.
{laughing},{laughing}
-얼-,-얼-
얼마에,얼마에
싸이코.,싸이코.
한,한
십만,십만
원까지,원까지
쓸,쓸
수,수
아,아
내,내
생각에는,생각에는
&name3&,&name3&
빼야돼.,빼야돼.
아~,아~
&name3&,&name3&
어떻게,어떻게
빼냐.,빼냐.
내,내
생각엔,생각엔
&name3&,&name3&
&name4&,&name4&
빼고,빼고
세,세
명이서,명이서
비싸게,비싸게
먹어.,먹어.
{laughing},{laughing}
세,세
명이,명이
&company-name4&,&company-name4&
가자.,가자.
개,개
싸패네.,싸패네.
그,그
다음에,다음에
다섯,다섯
명이서,명이서
불닭같은,불닭같은
싸구려를,싸구려를
어.,어.
안돼.,안돼.
아,아
두,두
번,번
먹지.,먹지.
개이득.,개이득.
두,두
번?,번?
어.,어.
아니,아니
뭐,뭐
먹지?,먹지?
{laughing},{laughing}
진짜,진짜
어이없네.,어이없네.
&name5&,&name5&
월급,월급
받는,받는
날,날
부른다.,부른다.
&name5&,&name5&
주급인데,주급인데
언제,언제
받는지,받는지
이미,이미
내,내
생각도,생각도
그래.,그래.
{laughing},{laughing}
그런데,그런데
돈을,돈을
안,안
줘.,줘.
누구한테.,누구한테.
나한테.,나한테.
까먹언.,까먹언.
내,내
소액결제,소액결제
돈,돈
그,그
사만,사만
원?,원?
까먹었다고.,까먹었다고.
야,야
뭐,뭐
먹지,먹지
&name2&,&name2&
월급,월급
받으면?,받으면?
뭐,뭐
먹을,먹을
거,거
딱히.,딱히.
그~,그~
지금,지금
사실,사실
배고파,배고파
배불러가지고이.,배불러가지고이.
맞아,맞아
맞아,맞아
맞아.,맞아.
생각이언.,생각이언.
아니면,아니면
&company-name5&도,&company-name5&도
먹고,먹고
그건,그건
좀,좀
애매해.,애매해.
&company-name5&은,&company-name5&은
뭐,뭐
&company-name5&은,&company-name5&은
&name2&,&name2&
나,나
개인적으로,개인적으로
사겠지.,사겠지.
설마,설마
낮에,낮에
먹는,먹는
거,거
아니?,아니?
이십오,이십오
일,일
이후로,이후로
연락,연락
끊겠습니다.,끊겠습니다.
좀,좀
밤,밤
음식으로,음식으로
할까,할까
지금,지금
밤에,밤에
먹지,먹지
않을까?,않을까?
거의,거의
나,나
막창도,막창도
먹고,먹고
싶은데.,싶은데.
막창,막창
너무,너무
비싸.,비싸.
&name2&,&name2&
정해야,정해야
된다니까,된다니까
그니까?,그니까?
응~,응~
&name2&,&name2&
뭐,뭐
이라고,이라고
그니까.,그니까.
글쎄.,글쎄.
&company-name6&,&company-name6&
가던가,가던가
돈,돈
없으면.,없으면.
&company-name6&,&company-name6&
먹고,먹고
후식으로,후식으로
가던가.,가던가.
후식이,후식이
더,더
많이,많이
나올걸?,나올걸?
후식,후식
어디가?,어디가?
몰라.,몰라.
카페,카페
아님,아님
&company-name7&,&company-name7&
간다.,간다.
카페가,카페가
더,더
많이,많이
나와.,나와.
모르겠는데,모르겠는데
어디,어디
갈,갈
지.,지.
일단,일단
뭘,뭘
지금,지금
뭐,뭐
제일,제일
먹고,먹고
싶은데.,싶은데.
지금은,지금은
나,나
배불러.,배불러.
맞지.,맞지.
배불러.,배불러.
{clearing},{clearing}
우리,우리
서울,서울
갈,갈
건데,건데
&name2&도,&name2&도
따라올,따라올
거?,거?
아니.,아니.
왜?,왜?
나도,나도
&name2&,&name2&
데려가고,데려가고
강아지,강아지
쟤,쟤
마루,마루
봐야돼.,봐야돼.
개,개
어이없지,어이없지
아니,아니
둘이,둘이
그래서,그래서
그다음,그다음
밤에,밤에
내려와.,내려와.
놀다가?,놀다가?
그럴까?,그럴까?
나,나
혼자만이어가지고,혼자만이어가지고
나,나
혼자,혼자
내려가야돼.,내려가야돼.
근데,근데
서울,서울
가기,가기
좀,좀
근데,근데
뭐,뭐
지금이,지금이
그때,그때
우리,우리
갔을,갔을
때,때
보다?,보다?
그때랑,그때랑
비슷한가?,비슷한가?
안,안
갈래.,갈래.
{laughing},{laughing}
그래.,그래.
나만,나만
엄마,엄마
수술,수술
그거,그거
지켜보고,지켜보고
올게.,올게.
둘,둘
이,이
같이,같이
뭐,뭐
그냥,그냥
올라갔다,올라갔다
내려오는거,내려오는거
아니?,아니?
수술,수술
다음날인거,다음날인거
다,다
수술,수술
전날.,전날.
다음날이네.,다음날이네.
전날.,전날.
십일,십일
일이네.,일이네.
전날.,전날.
그니까,그니까
나,나
십,십
날,날
간다니까?,간다니까?
그니까.,그니까.
십이,십이
일,일
수술.,수술.
아,아
수술,수술
십이,십이
일?,일?
응.,응.
무튼,무튼
전날,전날
가,가
나.,나.
그니까,그니까
전,전
수술,수술
안보고,안보고
내려오는거네.,내려오는거네.
그치,그치
근데,근데
이제,이제
나,나
외로우니까,외로우니까
위로해줘라,위로해줘라
이거지.,이거지.
괜히,괜히
말했네,말했네
&name2&이한테,&name2&이한테
말해봤자,말해봤자
도움도,도움도
안되는데.,안되는데.
딱,딱
걸렸어(()),걸렸어(())
같이,같이
가줄거?,가줄거?
아니.,아니.
왜,왜
그냥,그냥
가자고,가자고
해.,해.
그니까.,그니까.
안돼.,안돼.
돈도,돈도
&name4&이랑,&name4&이랑
&name3&는,&name3&는
가겠다고,가겠다고
그럼,그럼
데려가.,데려가.
난,난
저런,저런
친구가,친구가
없어.,없어.
어,어
데려가.,데려가.
아니,아니
나는,나는
지금,지금
운전해,운전해
줄,줄
사람이,사람이
필요해,필요해
우리.,우리.
{laughing},{laughing}
우르르.,우르르.
어이없어.,어이없어.
&name2&,&name2&
나랑,나랑
같이,같이
안가줘.,안가줘.
안돼.,안돼.
돈도,돈도
없고.,없고.
왜,왜
&name2&,&name2&
팔십만,팔십만
원,원
있잖아.,있잖아.
갚을,갚을
때가,때가
얼마나,얼마나
많은지,많은지
알아,알아
내가,내가
지금?,지금?
내가,내가
너네,너네
십만,십만
원,원
큰,큰
마음,마음
먹고,먹고
쓰는거야.,쓰는거야.
어이가,어이가
없네.,없네.
십만,십만
원?,원?
십만,십만
원이면,원이면
뭐,뭐
먹어야,먹어야
되냐?,되냐?
한,한
사람당,사람당
얼마지?,얼마지?
이만,이만
원.,원.
오,오
괜찮은데?,괜찮은데?
괜찮다니까.,괜찮다니까.
그럼,그럼
한,한
사람당,사람당
만,만
원씩,원씩
내가지고,내가지고
&company-name4&,&company-name4&
&company-name4&,&company-name4&
삘,삘
아니,아니
근데.,근데.
그렇게,그렇게
무식하게,무식하게
많이,많이
먹고,먹고
싶지,싶지
맞아.,맞아.
아니,아니
난,난
무식하게,무식하게
먹고싶은데.,먹고싶은데.
{laughing},{laughing}
요즘은,요즘은
이,이
늙은,늙은
진심으로,진심으로
조금,조금
이~,이~
위가,위가
이~,이~
아,아
조금만,조금만
먹어도,먹어도
이~,이~
퍼져가지고는,퍼져가지고는
엥.,엥.
엥.,엥.
아무튼,아무튼
{laughing},{laughing}
야,야
너도,너도
카페에서,카페에서
음료,음료
빨리,빨리
마셔?,마셔?
중간까진,중간까진
빨리,빨리
마셔.,마셔.
&name4&이는?,&name4&이는?
빨리,빨리
안마셔.,안마셔.
&name2&랑,&name2&랑
아니,아니
&name2&이랑,&name2&이랑
먹어봤네.,먹어봤네.
&name2&,&name2&
내가,내가
밥,밥
먹을,먹을
때,때
(()),(())
너네가,너네가
사진,사진
찍고,찍고
하는,하는
동안,동안
밥,밥
다,다
먹어인.,먹어인.
{laughing},{laughing}
&name3&도,&name3&도
빨리,빨리
마셔?,마셔?
아니,아니
&name3&,&name3&
안마셔,안마셔
잘.,잘.
&name3&은,&name3&은
뭘,뭘
잘,잘
안,안
먹네,먹네
밥.,밥.
근데,근데
왜,왜
살,살
쪄?,쪄?
글쎄이.,글쎄이.
왜,왜
살찌지?,살찌지?
&name3&,&name3&
진짜,진짜
안먹는데이.,안먹는데이.
솔직히,솔직히
&name3&보다,&name3&보다
내가,내가
많이,많이
먹어.,먹어.
그건,그건
아니.,아니.
진심,진심
&name3&,&name3&
피자,피자
맨날,맨날
세,세
조각,조각
먹네.,먹네.
넌,넌
세,세
조각,조각
못,못
먹네.,먹네.
근데,근데
난,난
피자가,피자가
최약한,최약한
제일,제일
약한,약한
부분이라니까,부분이라니까
나의,나의
모든,모든
음식,음식
중에,중에
피자가,피자가
제일,제일
약해.,약해.
모든,모든
사람이,사람이
그래,그래
밀가루라서,밀가루라서
난,난
(()),(())
난,난
솔직히,솔직히
치킨은,치킨은
&name3&보다,&name3&보다
많이,많이
먹어.,먹어.
요번에,요번에
이.,이.
뿌링클,뿌링클
콤보,콤보
자기,자기
혼자,혼자
먹었다고,먹었다고
그걸로,그걸로
아직까지,아직까지
그거는,그거는
진짜,진짜
많이,많이
먹었지.,먹었지.
너랑,너랑
먹었어,먹었어
근데,근데
하나,하나
남아있는거.,남아있는거.
다리가,다리가
엄청,엄청
크더만,크더만
다리,다리
몇,몇
개,개
남겼다고?,남겼다고?
다리,다리
두,두
개밖에,개밖에
(()),(())
다리,다리
두개랑,두개랑
그~,그~
날개,날개
윙,윙
하나만,하나만
(()),(())
그니까,그니까
다리가,다리가
이만큼이네,이만큼이네
그거,그거
빼면은.,빼면은.
-너-,-너-
너랑,너랑
먹었을,먹었을
때도,때도
다리,다리
하나,하나
남았네.,남았네.
근데,근데
그거,그거
마지막에,마지막에
너가,너가
먹었네.,먹었네.
그거,그거
하나랑,하나랑
나,나
하나,하나
빼고,빼고
다,다
먹었다니까?,먹었다니까?
잘했어.,잘했어.
그니까,그니까
솔직히,솔직히
&name3&도,&name3&도
치킨은,치킨은
(()),(())
치킨도,치킨도
많이,많이
못먹는다니까,못먹는다니까
항상,항상
우리랑,우리랑
먹잖아.,먹잖아.
근데,근데
&name3&,&name3&
밥을,밥을
잘,잘
많이,많이
안,안
먹어.,먹어.
밥,밥
많이,많이
먹어.,먹어.
밥을,밥을
많이,많이
먹지.,먹지.
밥을?,밥을?
그래?,그래?
그런데,그런데
왜,왜
-살찌-,-살찌-
그렇게,그렇게
먹질않애.,먹질않애.
그런,그런
돈까스,돈까스
같은,같은
것도,것도
많이,많이
먹네.,먹네.
어,어
별로,별로
안,안
하나,하나
에,에
더,더
먹어,먹어
하나,하나
보다,보다
하나,하나
더,더
먹어?,먹어?
&name2&정도,&name2&정도
먹는,먹는
것,것
같아,같아
돈까스는,돈까스는
돈까스는,돈까스는
근데,근데
조금,조금
밖에,밖에
안,안
주네.,주네.
두,두
개,개
가능?,가능?
어,어
충분히,충분히
가능.,가능.
대박,대박
나,나
하나,하나
남아.,남아.
그러니까,그러니까
너,너
남는,남는
건,건
우리가,우리가
먹네.,먹네.
어.,어.
개이득.,개이득.
난,난
삘이,삘이
오면이,오면이
많이,많이
먹을,먹을
수,수
인.,인.
난,난
삘,삘
오는,오는
날은,날은
좀,좀
돈가스도,돈가스도
많이,많이
먹지안?,먹지안?
그냥,그냥
삘,삘
오는,오는
날은,날은
하나,하나
다,다
먹는거지.,먹는거지.
그냥,그냥
보통,보통
먹어.,먹어.
보통,보통
다,다
(()),(())
먹어,먹어
삘,삘
오는,오는
날.,날.
삘,삘
오는,오는
날은,날은
내가,내가
더,더
많이,많이
먹어,먹어
&name6&보다.,&name6&보다.
근데,근데
너는,너는
배부른데,배부른데
먹는거네.,먹는거네.
아니?,아니?
누가,누가
배부르다고,배부르다고
했는데?,했는데?
너,너
배부른데,배부른데
먹는,먹는
거네,거네
너,너
욕심내서,욕심내서
먹는다.,먹는다.
언니가,언니가
어떻게,어떻게
알아.,알아.
맞아,맞아
그래가지고,그래가지고
체하는거네.,체하는거네.
맞아.,맞아.
체,체
내가,내가
해,해
너가,너가
해?,해?
&name5&는,&name5&는
이.,이.
일본에서도,일본에서도
체하고,체하고
이.,이.
나는,나는
체,체
잘,잘
안해.,안해.
그래서,그래서
이번에,이번에
뭔가,뭔가
체했는데,체했는데
몰랐던거,몰랐던거
그런거,그런거
그래서,그래서
이번에,이번에
체,체
내리려고,내리려고
갔는데,갔는데
아니,아니
나,나
여기,여기
진짜,진짜
엄청,엄청
여기랑,여기랑
여기,여기
진짜,진짜
울,울
것,것
같았거든.,같았거든.
아무,아무
느낌도,느낌도
안,안
나,나
이제.,이제.
진짜?,진짜?
그런데,그런데
여기는,여기는
지금,지금
해도,해도
아프던데,아프던데
그땐,그땐
아예,아예
그땐,그땐
진짜,진짜
바늘로,바늘로
쑤시는,쑤시는
진짜,진짜
이렇게,이렇게
하는,하는
느낌이었다니까.,느낌이었다니까.
그래서,그래서
내가,내가
유럽,유럽
때,때
이빨,이빨
아픈,아픈
것처럼,것처럼
유럽,유럽
때,때
너가,너가
나,나
등,등
쳤을때,쳤을때
존나,존나
아프다고,아프다고
했는데,했는데
너가,너가
엄살부리지,엄살부리지
말라고,말라고
했네.,했네.
등은,등은
&name5&도,&name5&도
나,나
계속,계속
쳤는데,쳤는데
그렇게,그렇게
아프지,아프지
개아파.,개아파.
등은,등은
&name5&가,&name5&가
쳐도,쳐도
여기,여기
손가락,손가락
사이에,사이에
손가락,손가락
사이에,사이에
시원해.,시원해.
그래서,그래서
&name5&가,&name5&가
등이랑,등이랑
손가락,손가락
사이를,사이를
쳤는데,쳤는데
그때는,그때는
뭔가,뭔가
안,안
풀리고,풀리고
그냥,그냥
소화가,소화가
계속,계속
안되는,안되는
느낌인,느낌인
거.,거.
어,어
그래서,그래서
&name5&가,&name5&가
혈을,혈을
새로,새로
네이버에,네이버에
여기를,여기를
그냥,그냥
걍,걍
기절,기절
그냥,그냥
급이,급이
달라.,달라.
그래서,그래서
내가,내가
이.,이.
급이,급이
달라.,달라.
그때부터,그때부터
체라고,체라고
의심은,의심은
그런데,그런데
말로는,말로는
자꾸,자꾸
역류성,역류성
왜냐하면,왜냐하면
{laughing},{laughing}
식은,식은
땀이라고,땀이라고
종이까지,종이까지
줬다고,줬다고
내가,내가
돌팔이라고,돌팔이라고
했네.,했네.
상쾌한?,상쾌한?
개돌팔이.,개돌팔이.
개돌팔이.,개돌팔이.
아니,아니
엄마랑,엄마랑
그~,그~
간호사가,간호사가
혹시,혹시
원하시는,원하시는
선생님이,선생님이
있으면,있으면
그,그
선생님한테,선생님한테
보게,보게
해,해
드리니까,드리니까
말씀해,말씀해
달라고,달라고
하니까,하니까
엄마가,엄마가
아무데서나,아무데서나
봐도,봐도
걍,걍
아무데서나,아무데서나
그래서,그래서
나와서,나와서
엄마,엄마
나,나
역류성,역류성
식도염인거,식도염인거
하니까,하니까
그,그
사람,사람
{laughing},{laughing}
그래서,그래서
내가,내가
엄마,엄마
그,그
사람한테,사람한테
뭐라고,뭐라고
하니까,하니까
뭐,뭐
상관이,상관이
있는,있는
줄,줄
알았나,알았나
역류성,역류성
식도염은,식도염은
아니라.,아니라.
거기,거기
잘하는,잘하는
거,거
&name7&밖에,&name7&밖에
기부하고,기부하고
거기,거기
원장이,원장이
어,어
원장이,원장이
제일,제일
잘해.,잘해.
원장이,원장이
두,두
명,명
있고,있고
있고,있고
좀,좀
젊은,젊은
아저씨.,아저씨.
잘해.,잘해.
아니,아니
개못해.,개못해.
아,아
돌팔이라니까,돌팔이라니까
어,어
잘해,잘해
&name7&,&name7&
아니,아니
근데,근데
그,그
사람은,사람은
잘,잘
아,아
진짜?,진짜?
다른,다른
사람이,사람이
하는거,하는거
아니?,아니?
아~,아~
그런데,그런데
두,두
명이나,명이나
쓰나?,쓰나?
일,일
번,번
일,일
번,번
맨,맨
왼쪽.,왼쪽.
돌팔이라니까.,돌팔이라니까.
아~,아~
진짜?,진짜?
돌팔이라고.,돌팔이라고.
잘해.,잘해.
나,나
링겔,링겔
안,안
맞아도,맞아도
되는데,되는데
나,나
링겔,링겔
아~,아~
주사에,주사에
그런게,그런게
좀,좀
그런데,그런데
거기,거기
잘해.,잘해.
아~,아~
진짜?,진짜?
어~,어~
&company-name8&,&company-name8&
과장님.,과장님.
아~,아~
&company-name9&인가.,&company-name9&인가.
그래서,그래서
거기,거기
사람,사람
그,그
사람,사람
때문에,때문에
다,다
많은,많은
거.,거.
어,어
거기,거기
&company-name9&,&company-name9&
과장.,과장.
근데,근데
나는,나는
그것도,그것도
모르고,모르고
기다리기만,기다리기만
오지게,오지게
기다리고,기다리고
돌팔이.,돌팔이.
아니면,아니면
진짜,진짜
맞아야,맞아야
됐던거,됐던거
아니?,아니?
그랬을,그랬을
수도,수도
아이,아이
&name2&,&name2&
진짜,진짜
맞아야,맞아야
될,될
정도면,정도면
이.,이.
쓰러젼.,쓰러젼.
항생제,항생제
맞으라고,맞으라고
나보고,나보고
염증이,염증이
있었던,있었던
거,거
아니면,아니면
염증이,염증이
있긴,있긴
했는데,했는데
이.,이.
응.,응.
나,나
한,한
번도,번도
링거,링거
맞아,맞아
본적이,본적이
돈,돈
많이나와서,많이나와서
맞아.,맞아.
핸드폰,핸드폰
그때,그때
핸드폰도,핸드폰도
핸드폰,핸드폰
고쳐야,고쳐야
되는데,되는데
아니,아니
나는,나는
이,이
그냥,그냥
일찍,일찍
끝내려고,끝내려고
일찍,일찍
끝날,끝날
줄,줄
알고,알고
간건데,간건데
갑자기,갑자기
세,세
시간인가,시간인가
거기,거기
또,또
삼,삼
층인가,층인가
이,이
층에,층에
내려간,내려간
다음에,다음에
거기,거기
입원실,입원실
있거든?,있거든?
주사실,주사실
따로,따로
어.,어.
아,아
야,야
&name2&,&name2&
다리를,다리를
접질렀다게,접질렀다게
겹집렀다게,겹집렀다게
접질렀다.,접질렀다.
그런데,그런데
말하는,말하는
걸,걸
보면,보면
겹질렀다,겹질렀다
개삘.,개삘.
어~,어~
대박이지,대박이지
난,난
처음,처음
들어보어,들어보어
그,그
말을,말을
겹질렀다.,겹질렀다.
어.,어.
그래서,그래서
겹질렀다라는,겹질렀다라는
말이,말이
있는,있는
거,거
그래서,그래서
겹쳐서,겹쳐서
질러,질러
질렀스,질렀스
질렀쎄이,질렀쎄이
그래가지고,그래가지고
그~,그~
우리가,우리가
접질렀다라는,접질렀다라는
말을,말을
쓰는게,쓰는게
틀린거고,틀린거고
겹질렀다가,겹질렀다가
겹질리다.,겹질리다.
그럼,그럼
접질렸다,접질렸다
사투리?,사투리?
어.,어.
전라도,전라도
어~,어~
아~,아~
그런데,그런데
-접질-,-접질-
접지르다는,접지르다는
있나?,있나?
모르겠다.,모르겠다.
지금,지금
다리,다리
-접질-,-접질-
접지를,접지를
삘,삘
봐주라.,봐주라.
그~,그~
오늘,오늘
제주도,제주도
아이씨,아이씨
나,나
건드리면,건드리면
&name5&,&name5&
죽어.,죽어.
제주도,제주도
뭐?,뭐?
제주도,제주도
사투리인데,사투리인데
-제-,-제-
사투리,사투리
-안-,-안-
-안-,-안-
부르다?,부르다?
택배,택배
부르다,부르다
부르다가,부르다가
엥,엥
어~,어~
택배,택배
부르다라고,부르다라고
안,안
어.,어.
그럼?,그럼?
너,너
누구한테,누구한테
근데,근데
